id_bien;No_voie;B_T_Q;Type_voie;Voie;Code_postal;id_codedep_codecommune;Type_local;surface_carrez;Surface_local;total_piece
13048;41;;RUE;D HAUTPOUL;75019;75119;Appartement;56,37;55;3
13049;397;;RUE;DES PYRENEES;75020;75120;Appartement;141,4;141;3
13050;6;;RUE;TACLET;75020;75120;Appartement;34,02;33;1
13051;144;;RUE;D AVRON;75020;75120;Appartement;14,78;13;1
13052;4;;BD;PDT RENE COTY;76790;76254;Appartement;45,91;52;3
13053;48;;RUE;EDOUARD LANG;76600;76351;Appartement;39,39;39;2
13054;6;T;RUE;DU GRAND NOYER;77170;77053;Appartement;39,9;40;2
13055;80;;RUE;GUSTAVE NAST;77500;77108;Appartement;29,53;37;1
13056;13;;RUE;DE LA LIBERTE;77500;77108;Appartement;81,4;81;5
13057;2;A;CHE;DES JONCS;77230;77153;Maison;90,41;85;4
13058;12;;RUE;DE LA CROIX BLANCHE;77370;77272;Appartement;40,74;45;2
13059;4;B;RUE;DE LA CRECHE;77100;77284;Appartement;17;17;1
13060;43;;RUE;DE LA CRECHE;77100;77284;Appartement;25,93;26;1
13061;24;;AV;DU GEN LECLERC;77680;77390;Appartement;24,53;25;1
13062;5;;RLE;AUX VINS;77270;77514;Appartement;63,49;63;3
13063;1256;;RUE;LOUIS BLERIOT;78530;78117;Maison;94,8;90;3
13064;63;;RUE;DE VERSAILLES;78150;78158;Appartement;15,53;18;1
13065;7;;RUE;COUPE;78460;78160;Appartement;71,63;71;3
13066;28;;RUE;D EPERNON;78550;78310;Appartement;62,17;61;3
13067;2;;SQ;DES BRUYERES;78114;78356;Appartement;81,27;79;4
13068;57;;RUE;HENRI RICHAUME;78360;78418;Appartement;44,64;42;2
13069;4;;RPT;VOLTAIRE;78210;78545;Appartement;46,5;46;2
13070;26;;AV;SAINT FIACRE;78100;78551;Appartement;49,52;49;2
13071;59;;AV;MAURICE BERTEAUX;78500;78586;Appartement;38,12;39;2
13072;1;;ALL;DU POITOU;78140;78640;Appartement;94,05;93;5
13073;76;;AV;DE PARIS;78000;78646;Appartement;120,53;122;4
13074;19;;RUE;LAMARTINE;80000;80021;Appartement;30,07;34;2
13075;3;;ALL;DES NYMPHEAS;80000;80021;Appartement;53,79;54;2
13076;9001;;RES;LES RESTANQUES GOLFE ST TR;83310;83068;Appartement;27,37;28;2
13077;9001;;;SUPER CROISETTE MIRAMAR;83250;83071;Appartement;30,34;30;2
13078;117;;RUE;DU LOT LA BANETTE;83270;83112;Appartement;69,2;66;4
